cw_sheshadri_3_37,48,8,2.2,3617.578125,43.06640625,3574.51171875,4550.33760792,3617.578125,43.06640625,3574.51171875,4550.33760792,-52412
cw_suman_4_02,59,12,2,775.1953125,43.06640625,732.12890625,4121.70954304,775.1953125,43.06640625,732.12890625,4121.70954304,12640936
cw_suman_4_16,37,12,2.1,2540.91796875,43.06640625,2497.8515625,4141.33953586,2540.91796875,43.06640625,2497.8515625,4141.33953586,5868719
cw_varghese_2_57,34,8,1.8,516.796875,43.06640625,473.73046875,6816.68096444,516.796875,43.06640625,473.73046875,6816.68096444,6845510
cw_varghese_3_02,114,10,2.2,1679.58984375,43.06640625,1636.5234375,5938.24900116,1679.58984375,43.06640625,1636.5234375,5938.24900116,1422028
cw_varghese_3_03,30,8,1.2,2799.31640625,43.06640625,2756.25,5783.80140018,2799.31640625,43.06640625,2756.25,5783.80140018,-2176666
cw_varghese_3_05,50,12,2,1378.125,43.06640625,1335.05859375,4086.56951366,1378.125,43.06640625,1335.05859375,4086.56951366,36772312
cw_varghese_3_14,58,10,2,3186.9140625,43.06640625,3143.84765625,5999.83908,3186.9140625,43.06640625,3143.84765625,5999.83908,-3860715
cw_manoj_12_30,30,8.8,1.2,1076.66015625,43.06640625,1033.59375,514.827023341,1076.66015625,43.06640625,1033.59375,514.827023341,4124682
cw_manoj_12_35,43,8.5,1.9,990.52734375,43.06640625,947.4609375,344.956024422,990.52734375,43.06640625,947.4609375,344.956024422,17184265
cw_manoj_12_38,27,16,1.4,559.86328125,43.06640625,516.796875,369.311523438,559.86328125,43.06640625,516.796875,369.311523438,7274336
cw_manoj_12_40,23,15,1.4,645.99609375,43.06640625,602.9296875,373.92578125,645.99609375,43.06640625,602.9296875,373.92578125,5526974
cw_manoj_12_44,26,17,1.2,775.1953125,43.06640625,732.12890625,162.244762074,775.1953125,43.06640625,732.12890625,162.244762074,4779220
cw_manoj_12_47,20,11,1.2,602.9296875,43.06640625,559.86328125,560.935563017,602.9296875,43.06640625,559.86328125,560.935563017,3278817
cw_manoj_12_55,32,7,1.5,990.52734375,43.06640625,947.4609375,531.26528013,990.52734375,43.06640625,947.4609375,531.26528013,2237361
cw_manoj_13_02,16,10,1.3,2024.12109375,43.06640625,1981.0546875,2539.48643027,2024.12109375,43.06640625,1981.0546875,2539.48643027,-764708
cw_unnamed_04_37,37,9,1.4,23859.375,46.875,23812.5,13845.4020642,23859.375,46.875,23812.5,13845.4020642,47762585
cw_unnamed_04_43,35,10,1.5,23859.375,46.875,23812.5,13600.9767826,23859.375,46.875,23812.5,13600.9767826,23657450
cw_unnamed_04_49,28,20,1.2,23812.5,46.875,23765.625,12195.2454168,23812.5,46.875,23765.625,12195.2454168,23618716
cw_unnamed_05_05,24,16,1,23859.375,46.875,23812.5,12756.1953974,23859.375,46.875,23812.5,12756.1953974,24359182
cw_unnamed_05_06,35,11,1.4,23812.5,46.875,23765.625,12309.4620989,23812.5,46.875,23765.625,12309.4620989,21919675
cw_sreeharsha_3_48,36,13,1.3,818.26171875,43.06640625,775.1953125,4158.74889447,818.26171875,43.06640625,775.1953125,4158.74889447,24800582
cw_sreeharsha_3_57,39,12,1.4,990.52734375,43.06640625,947.4609375,4523.60781252,990.52734375,43.06640625,947.4609375,4523.60781252,9313603
cw_sreeharsha_3_59,26,12,1.4,732.12890625,43.06640625,689.0625,5352.28161486,732.12890625,43.06640625,689.0625,5352.28161486,7964922
cw_sreeharsha_4_02,53,8,1.8,1335.05859375,43.06640625,1291.9921875,7084.31838989,1335.05859375,43.06640625,1291.9921875,7084.31838989,6369365
cw_sreeharsha_4_05,20,8,1.4,732.12890625,43.06640625,689.0625,5277.81016265,732.12890625,43.06640625,689.0625,5277.81016265,18804013
cw_sreeharsha_4_07,20,15,1.5,1205.859375,43.06640625,1162.79296875,4608.3280593,1205.859375,43.06640625,1162.79296875,4608.3280593,10382255
cw_sreeharsha_4_11,39,14,1.6,861.328125,43.06640625,818.26171875,348.353584226,861.328125,43.06640625,818.26171875,348.353584226,3474619
